
属性	            描述
color	            设置文本颜色
direction	        设置文本方向。
line-height	        设置行高。
letter-spacing	    设置字符间距。
text-align	        对齐元素中的文本。
text-decoration	    向文本添加修饰。
text-indent	        缩进元素中文本的首行。
text-shadow	        设置文本阴影。CSS2 包含该属性，但是 CSS2.1 没有保留该属性。
text-transform	    控制元素中的字母。
unicode-bidi	    设置文本方向。
white-space	        设置元素中空白的处理方式。
word-spacing	    设置字间距。
